iter	Passed	Remaining
409	4042	5816
410	4048	5802
411	4056	5788
412	4062	5774
413	4069	5760
414	4077	5747
415	4085	5735
416	4093	5723
417	4101	5710
418	4109	5698
419	4116	5685
420	4123	5671
421	4131	5658
422	4139	5645
423	4145	5631
424	4153	5619
425	4160	5605
426	4167	5592
427	4174	5579
428	4182	5567
429	4190	5554
430	4197	5541
431	4204	5528
432	4212	5515
433	4219	5502
434	4226	5489
435	4233	5476
436	4246	5471
437	4253	5457
438	4260	5444
439	4268	5432
440	4275	5418
441	4281	5405
442	4289	5393
443	4297	5381
444	4304	5368
445	4311	5355
446	4318	5342
447	4325	5329
448	4332	5316
449	4339	5303
450	4348	5293
451	4355	5280
452	4362	5267
453	4372	5259
454	4380	5247
455	4387	5234
456	4394	5221
457	4401	5208
458	4409	5197
459	4418	5186
460	4426	5175
461	4433	5162
462	4441	5151
463	4449	5139
464	4457	5128
465	4466	5117
466	4474	5106
467	4481	5094
468	4489	5082
469	4497	5071
470	4506	5061
471	4513	5049
472	4522	5038
473	4530	5027
474	4538	5016
475	4548	5007
476	4557	4997
477	4566	4986
478	4575	4976
479	4583	4965
480	4597	4960
481	4606	4950
482	4613	4938
483	4625	4931
484	4633	4920
485	4641	4909
486	4649	4897
487	4658	4887
488	4666	4876
489	4673	4864
490	4681	4853
491	4689	4841
492	4697	4830
493	4704	4818
494	4711	4806
495	4719	4795
496	4727	4784
497	4734	4772
498	4743	4762
499	4751	4751
500	4759	4740
501	4768	4730
502	4775	4719
503	4782	4707
504	4791	4696
505	4799	4685
506	4807	4674
507	4813	4661
508	4821	4650
509	4827	4638
510	4835	4627
511	4842	4615
512	4852	4606
513	4862	4597
514	4872	4589
515	4880	4577
516	4889	4568
517	4900	4559
518	4908	4549
519	4918	4540
520	4927	4529
521	4936	4520
522	4944	4509
523	4953	4500
524	4960	4488
525	4971	4480
526	4981	4470
527	4988	4459
528	4997	4449
529	5005	4438
530	5015	4429
531	5023	4418
532	5031	4408
533	5039	4397
534	5045	4385
535	5053	4374
536	5061	4363
537	5068	4352
538	5075	4341
539	5084	4331
540	5092	4320
541	5100	4310
542	5108	4299
543	5116	4288
544	5124	4277
545	5132	4267
546	5139	4256
547	5148	4246
548	5155	4235
549	5164	4225
550	5173	4215
551	5180	4204
552	5188	4193
553	5195	4182
554	5202	4171
555	5210	4160
556	5218	4150
557	5225	4138
